scheme_code,scheme_name,isin_growth,isin_reinvestment,fund_house,category,sub_category,risk_grade
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,INF209K01YM2,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,INF209K01YO8,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,INF209K01LU2,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,INF209K01LN7,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,INF209K01LR8,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,INF209K01LS6,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,INF209K01LT4,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,-,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,INF846K01NF8,-,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,-,INF846K01CU0,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
