rank,amfi_code,scheme_name,scorecard_score,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,max_drawdown,worst_dd_peak_date,worst_dd_trough_date,expense_ratio_pct
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,86.25,0.1364948399383572,0.22370441108299954,,1.0682238272314732,1.490738952294708,-0.11265729075028275,2023-07-11,2023-10-20,1.46
2,120505,ICICI Pru Midcap Fund - Regular - Growth,82.875,0.19606424190421,0.20966276886698343,,0.8832556184698839,1.2858427838168305,-0.18188513572116294,2024-10-24,2025-01-23,1.36
3,120843,Kotak Flexicap Fund - Regular - Growth,82.0,0.17721697531451253,0.1957295561946948,,0.965560651744012,1.4795034584167766,-0.1297396816518679,2022-03-07,2022-04-13,1.45
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,80.75,0.3426662757093495,0.21386970347820866,,0.8082678003905593,1.1442164603950202,-0.16217208574644848,2022-03-11,2022-05-12,1.38
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,79.375,0.08846997427855596,0.2141539844122886,,0.7146822636441237,1.0639638792991957,-0.12588275606922517,2022-10-04,2023-05-30,0.8
6,119094,Axis Midcap Fund - Regular - Growth,78.25,0.14885366123085508,0.23069305202112655,,0.7305467735561727,1.0552844773147763,-0.20960883862039192,2022-04-14,2022-08-11,1.38
7,119551,SBI Bluechip Fund - Regular Plan - Growth,74.1875,0.38594225525770476,0.2012851827004558,,0.8609773262277756,1.2914833497690066,-0.1501238549864533,2023-08-24,2024-02-05,1.54
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,73.6875,0.2599585744554356,0.19315769580157993,,0.9190465356358282,1.3528150221233652,-0.1639674294693263,2023-08-10,2023-10-20,1.6
9,119598,SBI Small Cap Fund - Regular Plan - Growth,68.0,0.5164634961407528,0.17712405265155495,,0.7116901743847246,1.0672557743438265,-0.2870600572176455,2024-08-28,2025-05-14,1.43
10,101206,ABSL Frontline Equity Fund - Regular - Growth,67.5625,0.3103785809157895,0.19181172352704046,,0.717408995989017,1.0639085968011799,-0.11291596329323073,2023-04-24,2023-07-05,1.6
